frame_id,source,score,x,y,w,h,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,left_mouth_x,left_mouth_y,right_mouth_x,right_mouth_y
0,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8908951282501221,722,25,247,343,792,165,900,169,843,226,796,286,885,289
1,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8907834887504578,721,26,248,345,791,166,900,170,842,228,795,289,885,292
2,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.890325129032135,719,28,250,345,790,167,899,172,840,230,794,292,883,295
3,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8901605010032654,718,28,251,346,788,168,898,173,838,231,792,293,882,296
4,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.891093373298645,718,28,251,346,787,168,898,173,838,231,791,294,882,297
5,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8915632367134094,717,27,251,346,787,166,898,172,837,230,789,292,882,296
6,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8923652172088623,718,26,250,347,787,166,898,170,838,228,790,291,883,294
7,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8933893442153931,717,24,250,349,786,165,898,169,838,226,790,290,883,293
8,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8931643962860107,718,23,248,350,787,162,898,167,838,224,789,289,881,293
9,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8936691880226135,718,21,248,350,787,159,898,165,838,220,789,287,880,291
10,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8943715691566467,718,20,248,348,788,158,897,164,838,220,789,285,880,289
11,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8947579264640808,718,20,248,345,788,158,897,163,838,220,790,285,881,288
12,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8934184908866882,718,20,248,345,788,158,898,163,839,222,790,284,881,288
13,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8935123682022095,718,21,248,348,787,159,898,164,839,223,788,286,881,290
14,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.894101619720459,716,22,248,352,785,161,897,166,838,227,788,289,881,292
15,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8937230706214905,716,24,247,350,783,164,895,169,836,229,786,290,880,293
16,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8932704329490662,715,25,248,348,782,165,894,170,834,231,784,290,879,293
17,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8930728435516357,714,26,248,343,779,167,891,171,831,233,782,289,877,292
18,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8925039172172546,714,26,248,343,778,166,889,170,829,232,781,287,876,290
19,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8922502994537354,713,26,249,341,779,167,888,170,827,235,784,285,877,287
20,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8925952315330505,714,25,247,341,778,165,889,169,829,232,781,285,875,288
21,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8929137587547302,714,25,247,341,779,165,888,168,830,231,784,286,876,288
22,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8934653997421265,716,24,247,346,782,163,892,167,833,229,785,288,878,291
23,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8927664160728455,717,23,247,349,783,162,894,166,835,229,787,287,880,290
24,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8923989534378052,716,20,250,353,786,163,898,166,838,231,790,284,886,287
25,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8918763399124146,717,20,250,354,788,162,900,164,839,229,792,285,887,287
26,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8917669057846069,718,19,250,355,789,160,901,163,840,228,793,283,888,286
27,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8916967511177063,719,19,250,351,789,161,901,163,842,228,795,281,890,283
28,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8901088833808899,719,19,250,347,790,160,900,162,842,228,794,278,887,281
29,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8925624489784241,719,22,250,340,790,159,899,161,840,229,795,278,888,280
30,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8938772678375244,719,22,250,337,789,159,899,161,839,229,794,277,887,279
31,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8936615586280823,718,21,251,338,789,159,899,162,839,228,794,276,887,278
32,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8929720520973206,718,22,251,339,789,158,898,162,838,226,793,278,885,280
33,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8900192975997925,718,19,251,346,788,161,899,162,839,227,794,279,888,280
34,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8906067609786987,718,21,250,345,787,159,897,162,838,225,792,282,883,284
35,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8912225961685181,718,22,250,345,786,159,896,163,838,227,791,283,883,286
36,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8912782073020935,718,21,249,348,786,161,896,164,837,228,791,285,883,287
37,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8918479084968567,719,20,248,351,788,166,901,167,841,233,794,283,890,285
38,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8921183943748474,719,21,248,352,787,162,898,165,841,229,792,284,886,286
39,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.892039954662323,720,21,248,351,788,162,900,166,843,228,792,283,887,285
40,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8924744129180908,721,20,247,349,788,163,901,165,844,230,793,281,889,283
41,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8929641842842102,721,21,248,346,789,164,901,165,845,229,795,281,891,282
42,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8920133709907532,723,22,248,344,794,165,903,165,850,231,801,281,894,281
43,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8926090598106384,725,23,247,344,795,165,904,166,851,230,802,282,895,282
44,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8925608396530151,727,24,245,343,795,165,904,166,851,231,802,282,895,282
45,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8929789066314697,727,24,246,344,795,166,905,166,851,232,803,283,896,283
46,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8934182524681091,728,24,245,344,796,165,906,167,852,232,802,283,896,284
47,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8940209150314331,728,24,245,341,797,166,908,167,851,236,803,282,899,283
48,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.894946277141571,728,24,245,340,797,164,909,166,851,235,803,279,900,280
49,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8955439925193787,728,23,246,340,797,163,909,164,850,234,803,279,900,279
50,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8966781497001648,728,22,245,340,796,162,908,163,850,232,803,278,899,279
51,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8983573913574219,728,21,245,339,796,161,908,162,850,231,804,278,900,278
52,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.898726224899292,728,17,245,341,798,157,907,158,850,226,804,277,897,278
53,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8988074064254761,729,17,245,342,798,155,906,157,848,225,804,276,895,278
54,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8984256386756897,728,15,246,345,799,153,906,155,849,222,805,276,895,277
55,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8978565335273743,729,16,245,345,799,152,907,154,849,222,806,276,895,277
56,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8959856033325195,728,16,246,346,800,153,907,155,850,222,806,277,895,278
57,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8937612175941467,726,15,249,354,797,160,908,160,852,228,804,282,898,282
58,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8925032615661621,726,21,248,351,796,162,904,163,849,227,804,286,894,286
59,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8931645154953003,725,23,249,352,795,166,903,167,848,231,803,289,893,289
60,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8929535150527954,723,27,251,352,792,170,902,171,846,236,801,295,892,294
61,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8933380842208862,721,30,252,353,790,174,902,176,844,246,797,299,891,300
62,data/processed/FI/video/YwsVpkumbJc.001.mp4,0.8907364010810852,720,38,253,349,788,181,901,182,841,253,795,305,890,305
