frame_id,source,score,x,y,w,h,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,left_mouth_x,left_mouth_y,right_mouth_x,right_mouth_y
0,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8020347356796265,900,109,69,92,927,140,955,141,943,159,926,175,949,176
1,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8019209504127502,900,109,69,92,927,140,955,141,943,159,926,175,949,176
2,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8024922013282776,900,109,69,92,927,140,955,141,943,159,926,175,949,176
3,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8023941516876221,900,109,69,92,927,140,955,141,943,159,926,175,949,176
4,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.802238404750824,900,109,69,92,927,140,955,141,943,159,926,175,949,176
5,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8013341426849365,900,109,69,92,927,140,955,141,943,159,927,175,949,176
6,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.7992970943450928,900,109,69,92,927,140,955,141,943,159,927,175,949,176
7,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.7997176647186279,900,109,69,92,927,140,955,141,943,159,927,175,949,176
8,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8012188076972961,900,110,69,91,927,140,955,141,943,159,927,175,949,176
9,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8025703430175781,900,110,69,91,927,140,955,141,943,159,926,175,949,176
10,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8014240264892578,900,110,69,91,927,140,955,141,943,159,926,175,949,176
11,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8018572330474854,900,110,69,91,927,140,955,141,943,159,926,175,949,176
12,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.7999017238616943,900,110,69,91,927,140,954,141,943,159,926,175,949,176
13,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8022894859313965,900,110,69,91,927,140,954,141,942,159,927,175,949,176
14,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8022220134735107,900,110,69,91,927,140,954,141,943,159,926,175,949,176
15,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8021053671836853,900,110,69,91,927,140,954,141,943,159,927,175,949,176
16,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8028326630592346,899,110,70,91,927,140,954,141,943,159,927,175,949,176
17,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8018235564231873,899,110,70,90,927,140,954,141,943,159,927,175,949,176
18,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8027529120445251,899,110,70,90,927,140,954,141,943,159,927,175,949,176
19,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8012468814849854,899,110,70,90,927,140,954,141,943,159,927,175,949,176
20,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.803784191608429,899,110,70,90,927,140,954,141,943,159,927,175,949,176
