frame_id,source,score,x,y,w,h,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,left_mouth_x,left_mouth_y,right_mouth_x,right_mouth_y
168,data/processed/FI/video/8OGiv7FetSQ.001.mp4,0.8516585230827332,1054,168,92,133,1076,225,1119,228,1095,251,1076,267,1113,269
169,data/processed/FI/video/8OGiv7FetSQ.001.mp4,0.8518572449684143,1052,166,93,132,1073,224,1116,225,1092,249,1075,265,1111,266
170,data/processed/FI/video/8OGiv7FetSQ.001.mp4,0.8535313010215759,1051,165,93,133,1070,221,1115,223,1089,248,1072,264,1109,265
171,data/processed/FI/video/8OGiv7FetSQ.001.mp4,0.8526960611343384,1047,161,96,137,1065,217,1111,219,1082,243,1068,262,1105,263
172,data/processed/FI/video/8OGiv7FetSQ.001.mp4,0.8592616319656372,1041,160,98,140,1058,218,1105,218,1076,242,1062,263,1101,262
173,data/processed/FI/video/8OGiv7FetSQ.001.mp4,0.8534680008888245,1032,157,102,142,1050,214,1098,214,1068,238,1054,261,1094,260
174,data/processed/FI/video/8OGiv7FetSQ.001.mp4,0.8538463115692139,1020,154,105,144,1040,211,1090,211,1060,235,1044,257,1086,257
175,data/processed/FI/video/8OGiv7FetSQ.001.mp4,0.8585213422775269,1006,148,110,150,1027,207,1081,208,1048,229,1029,256,1075,256
176,data/processed/FI/video/8OGiv7FetSQ.001.mp4,0.8768049478530884,989,144,117,154,1013,202,1071,202,1037,225,1017,256,1066,255
177,data/processed/FI/video/8OGiv7FetSQ.001.mp4,0.869314968585968,971,136,125,161,997,198,1060,197,1025,220,1002,252,1055,251
178,data/processed/FI/video/8OGiv7FetSQ.001.mp4,0.8588737845420837,951,129,135,170,979,192,1047,191,1009,213,984,253,1040,252
179,data/processed/FI/video/8OGiv7FetSQ.001.mp4,0.8806487917900085,930,121,144,181,962,187,1035,187,996,211,966,250,1027,249
180,data/processed/FI/video/8OGiv7FetSQ.001.mp4,0.8815566897392273,907,110,156,197,942,186,1020,182,981,205,948,249,1013,246
181,data/processed/FI/video/8OGiv7FetSQ.001.mp4,0.8772127032279968,883,98,170,213,926,176,1005,174,964,207,934,249,1003,248
182,data/processed/FI/video/8OGiv7FetSQ.001.mp4,0.8897578716278076,858,85,185,229,903,171,992,168,948,203,911,251,988,250
183,data/processed/FI/video/8OGiv7FetSQ.001.mp4,0.8897673487663269,858,85,185,229,903,171,992,168,948,203,911,251,988,250
184,data/processed/FI/video/8OGiv7FetSQ.001.mp4,0.9036070704460144,835,71,198,250,882,164,980,161,933,199,891,248,977,246
185,data/processed/FI/video/8OGiv7FetSQ.001.mp4,0.9025261402130127,811,56,213,274,863,159,969,154,916,194,875,251,966,248
186,data/processed/FI/video/8OGiv7FetSQ.001.mp4,0.90803462266922,791,43,224,297,847,154,959,152,906,198,858,251,955,249
187,data/processed/FI/video/8OGiv7FetSQ.001.mp4,0.9043146371841431,775,31,237,313,832,148,948,145,893,201,843,253,945,252
188,data/processed/FI/video/8OGiv7FetSQ.001.mp4,0.9067378044128418,765,28,244,323,826,148,945,146,888,205,836,256,941,255
189,data/processed/FI/video/8OGiv7FetSQ.001.mp4,0.9049195647239685,764,29,245,327,826,150,944,147,888,205,837,260,940,259
190,data/processed/FI/video/8OGiv7FetSQ.001.mp4,0.908677875995636,766,29,243,328,827,150,945,147,888,206,838,260,941,259
191,data/processed/FI/video/8OGiv7FetSQ.001.mp4,0.9018990397453308,767,28,243,331,828,154,945,152,886,205,839,265,940,263
