frame_id,source,score,x,y,w,h,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,left_mouth_x,left_mouth_y,right_mouth_x,right_mouth_y
0,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.889089822769165,699,150,257,335,741,285,859,274,796,334,768,398,870,389
1,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8888348340988159,699,149,258,335,741,285,859,273,796,335,768,398,870,389
2,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8887925148010254,700,149,257,335,741,284,860,273,796,334,768,397,870,388
3,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8887331485748291,700,149,257,335,742,284,859,273,795,335,767,396,869,388
4,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8880277872085571,700,149,257,334,742,283,860,272,796,333,768,395,869,386
5,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8879916667938232,701,148,256,332,742,284,860,271,795,329,768,396,868,385
6,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8887944221496582,702,147,255,332,742,283,859,270,795,326,769,395,868,385
7,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8884153366088867,702,147,255,331,743,282,860,269,795,324,770,395,868,384
8,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8884840607643127,702,147,255,333,742,282,859,270,795,325,769,395,868,385
9,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8860360383987427,702,147,255,341,743,283,859,273,796,329,768,395,868,387
10,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8856038451194763,702,147,255,342,743,285,858,275,795,331,768,398,867,390
11,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.886682391166687,701,149,256,347,742,287,858,276,795,335,768,400,868,392
12,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8877339959144592,701,152,255,341,742,289,855,278,793,334,768,405,864,396
13,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.886589765548706,701,153,255,336,741,289,854,278,792,334,768,403,864,394
14,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8856265544891357,701,153,255,333,740,288,853,278,790,334,767,402,862,394
15,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8846752047538757,701,153,255,331,741,288,853,278,790,334,766,402,861,394
16,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8847153186798096,701,153,256,329,741,288,854,278,791,334,767,402,862,394
17,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8838523030281067,702,152,256,329,744,290,856,279,794,334,769,399,864,391
18,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8839492797851562,703,151,255,336,744,290,856,279,795,335,770,401,866,393
19,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8851526975631714,703,152,256,339,744,290,857,278,795,337,771,403,868,393
20,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8859137892723083,704,153,255,337,744,291,856,279,795,336,772,403,867,393
21,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8845322132110596,704,152,255,338,744,290,857,279,795,335,771,403,866,394
22,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8856922388076782,703,152,255,332,743,289,855,278,794,334,770,402,865,393
23,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8862307071685791,702,152,256,328,742,288,854,278,792,333,768,400,863,392
24,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8849313855171204,702,153,254,323,741,290,852,277,789,330,768,398,860,388
25,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.884331226348877,701,153,255,323,740,289,852,277,788,332,766,396,860,386
26,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8843302130699158,701,152,254,324,739,289,851,277,788,332,766,397,860,386
27,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8855572938919067,700,153,256,324,740,287,852,277,789,334,766,397,861,388
28,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8862699270248413,700,153,256,325,740,288,852,277,789,335,766,398,862,390
29,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8858421444892883,700,154,256,329,740,288,853,278,789,336,766,401,862,393
30,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8864975571632385,700,155,256,329,740,289,852,278,789,336,766,403,861,394
31,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8866060376167297,701,155,255,329,741,290,852,279,790,336,767,404,862,395
32,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8861653804779053,701,156,255,328,742,290,853,280,791,336,768,404,862,395
33,data/processed/FI/video/F5kL7RWS_f0.004.mp4,0.8855777978897095,702,157,254,326,743,291,853,281,791,336,768,403,861,395
