frame_id,source,score,x,y,w,h,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,left_mouth_x,left_mouth_y,right_mouth_x,right_mouth_y
0,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8822619318962097,492,112,217,353,533,258,643,253,580,328,549,377,642,373
1,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8812558054924011,493,113,217,353,535,259,645,253,584,328,552,377,646,372
2,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8804472088813782,495,115,216,353,538,259,646,253,588,326,555,376,647,371
3,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8806554079055786,496,117,216,352,537,261,645,252,591,326,558,377,651,370
4,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8810321092605591,497,116,215,353,538,261,647,252,594,327,559,377,654,370
5,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8804033994674683,498,117,215,353,539,262,648,253,595,328,561,378,655,371
6,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8806714415550232,498,117,215,354,540,263,649,253,597,329,561,378,656,371
7,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8803353309631348,499,117,214,354,543,262,652,255,598,329,562,378,655,372
8,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8815042972564697,499,115,214,358,544,262,653,254,599,333,562,380,657,374
9,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.882516622543335,500,116,214,355,545,264,654,257,601,332,563,379,657,373
10,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8833370208740234,499,116,216,353,547,266,656,258,602,333,565,381,659,374
11,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8826569318771362,501,117,214,351,549,268,657,261,603,336,567,383,659,377
12,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8820634484291077,504,123,212,344,551,274,658,266,609,343,570,389,662,382
13,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8820770382881165,505,126,212,341,552,278,659,269,611,344,572,391,663,385
14,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8835694789886475,506,131,211,338,553,280,660,271,613,347,573,393,665,386
15,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.879504919052124,506,135,210,337,554,282,660,272,615,347,575,396,666,388
16,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8780079483985901,506,135,210,339,554,282,660,271,616,346,575,395,667,386
17,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8819079399108887,504,130,212,337,552,280,658,271,611,347,572,393,664,386
18,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8806484341621399,502,132,213,334,550,280,656,270,608,347,570,393,662,386
19,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8775091171264648,500,132,215,337,549,280,655,269,605,345,571,397,660,388
20,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8733518123626709,499,134,215,339,548,282,652,271,604,345,570,401,657,391
21,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8730944991111755,497,136,216,337,547,283,650,273,601,348,568,403,654,394
22,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8735182285308838,496,140,216,334,544,282,648,276,598,351,562,403,649,397
23,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8686343431472778,496,141,215,335,543,285,647,278,596,353,561,402,648,396
24,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8687204718589783,495,141,216,336,543,285,647,278,596,354,561,401,648,395
25,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8689039349555969,494,141,217,336,542,284,646,278,595,354,559,401,647,396
26,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8696860671043396,494,140,217,337,542,283,647,277,595,354,559,400,648,395
27,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.871735692024231,494,140,217,341,542,283,647,277,595,355,559,402,649,396
28,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8726596236228943,494,140,217,342,542,284,647,278,594,355,559,402,648,397
29,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8730500340461731,493,140,218,342,542,284,647,278,594,356,559,401,649,396
30,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8726742267608643,493,140,219,341,542,285,647,279,594,357,558,400,649,395
31,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8728410005569458,493,140,219,339,541,285,648,279,593,358,557,399,649,394
32,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8740778565406799,492,140,220,337,539,285,648,281,591,360,554,396,649,392
33,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8746006488800049,492,141,220,336,539,286,648,281,589,361,553,396,648,392
34,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8750550150871277,492,142,220,335,539,286,647,281,589,361,552,396,647,392
35,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8741224408149719,492,141,220,336,538,285,647,282,588,361,552,396,647,393
36,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8734607696533203,492,141,220,336,538,285,647,281,587,361,551,396,646,393
37,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.872569739818573,492,141,219,336,538,284,646,281,586,361,550,397,645,394
38,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8718485236167908,492,141,219,338,539,284,646,281,586,360,551,398,644,395
39,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8714706301689148,492,140,219,339,539,284,646,281,586,361,551,398,644,396
40,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8722695708274841,492,139,219,341,539,284,646,280,587,359,552,397,645,394
41,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8729708194732666,493,138,219,341,540,283,647,279,589,358,554,396,647,392
42,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8776333928108215,495,137,220,340,543,283,651,275,596,352,560,396,654,390
43,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8764527440071106,498,136,217,339,545,283,652,274,599,351,564,396,656,389
44,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8772549033164978,499,137,217,334,547,282,654,273,602,349,566,395,658,388
45,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8798922896385193,501,136,215,333,548,281,655,274,604,349,567,392,659,386
46,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8817741870880127,501,132,216,335,550,279,657,270,606,347,569,391,662,383
47,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8861199021339417,504,123,214,337,553,266,661,258,611,334,571,377,665,371
48,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8857098817825317,505,111,214,347,556,258,662,250,614,323,575,374,665,367
49,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8830233812332153,506,107,214,351,559,252,663,242,617,313,581,374,667,366
50,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8852453827857971,507,103,213,353,560,245,664,235,621,303,584,369,669,360
51,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8838943243026733,507,100,213,350,559,241,663,231,621,295,583,364,669,355
52,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8875995874404907,506,99,214,341,561,237,663,225,621,294,585,362,672,352
53,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8882202506065369,506,98,214,341,560,236,664,225,620,295,582,362,672,352
54,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8872637152671814,506,99,214,339,560,236,664,226,620,296,582,361,672,352
55,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8881425857543945,505,99,215,340,560,237,664,227,619,298,581,362,671,353
56,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8877360224723816,506,100,214,341,560,239,664,229,620,300,581,363,671,354
57,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8844460248947144,506,102,214,344,560,241,663,231,619,304,581,365,671,356
58,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8840045928955078,506,103,214,344,560,242,664,232,619,305,582,366,671,357
59,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8844253420829773,506,104,214,343,561,242,664,233,619,306,582,367,671,358
60,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8851166367530823,506,104,214,343,561,243,664,233,619,306,582,367,671,358
61,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8859471082687378,506,104,214,342,560,242,664,233,619,306,581,365,670,357
62,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8875179290771484,507,103,213,341,560,242,664,233,619,305,581,365,670,357
63,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8874650597572327,507,102,213,342,561,242,664,233,619,305,581,365,670,357
64,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8870255947113037,508,101,213,345,562,242,665,233,620,304,582,365,670,357
65,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8854914903640747,509,101,212,345,564,240,666,232,622,302,583,363,670,356
66,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8861660361289978,509,100,211,345,565,238,664,229,622,297,586,363,671,355
67,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8886902928352356,508,97,214,345,565,235,663,223,622,288,590,360,674,349
68,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8871762156486511,509,97,213,342,566,233,663,220,623,286,593,358,676,346
69,data/processed/FI/video/Rw_ZLT9vZTI.001.mp4,0.8845419883728027,509,98,214,339,566,235,663,219,625,286,596,360,678,346
