frame_id,source,score,x,y,w,h,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,left_mouth_x,left_mouth_y,right_mouth_x,right_mouth_y
0,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.905992865562439,546,5,285,398,629,126,763,143,689,202,617,292,726,306
1,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9059823155403137,546,5,285,398,629,126,763,143,689,202,617,292,726,306
2,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9059810638427734,546,5,285,398,629,126,763,143,689,202,617,292,726,307
3,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9085558652877808,549,5,289,404,633,123,770,142,693,203,619,292,731,308
4,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9078775644302368,555,5,290,407,641,121,778,144,698,206,622,288,736,307
5,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9086187481880188,558,5,297,413,642,118,783,142,697,210,621,285,740,305
6,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9083644151687622,563,5,300,411,646,115,787,137,698,209,628,283,746,302
7,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9084540009498596,563,5,300,411,646,115,787,137,698,209,628,283,746,301
8,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9089427590370178,564,5,307,410,650,112,793,133,704,210,634,280,754,298
9,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9079269170761108,568,6,311,408,656,107,801,132,707,207,636,278,757,299
10,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9086586833000183,570,6,315,409,661,106,810,137,713,211,633,276,759,301
11,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9092402458190918,572,6,319,409,661,107,810,139,710,218,633,278,760,303
12,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.908538818359375,570,4,323,417,653,114,808,139,714,224,632,289,763,310
13,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9073677659034729,568,4,323,421,648,120,806,142,713,231,632,295,766,313
14,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9039275646209717,565,5,321,422,644,126,801,147,708,239,627,302,762,320
15,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9016982316970825,561,5,320,423,636,129,796,152,700,243,618,305,754,325
16,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.901709794998169,561,5,320,423,636,129,796,152,700,243,617,305,754,325
17,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9031737446784973,545,6,324,431,627,138,781,161,673,259,612,317,744,334
18,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9036795496940613,541,8,315,432,626,148,775,168,677,260,611,317,740,334
19,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9028093218803406,534,7,309,431,618,151,769,172,676,256,603,317,732,334
20,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9027854204177856,534,7,309,431,618,151,768,172,676,256,603,316,732,334
21,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.902144730091095,528,10,302,428,613,152,756,173,667,255,599,319,720,336
22,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.8978897929191589,515,12,285,418,597,158,731,175,653,249,587,317,699,331
23,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.8936108350753784,509,17,272,408,586,163,718,176,645,245,580,316,690,326
24,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.8934909701347351,509,17,272,408,586,163,718,176,645,245,580,316,690,326
25,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.8936527967453003,496,24,271,397,573,170,703,177,634,247,573,316,683,322
26,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.8928613066673279,490,28,264,388,563,172,689,177,622,246,567,321,672,324
27,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.895788311958313,479,43,251,366,548,178,669,181,610,240,553,316,652,320
28,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.8958355784416199,479,43,251,367,548,178,669,181,609,240,553,317,652,320
29,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.8960703015327454,471,47,249,363,542,180,659,184,597,237,547,321,642,324
30,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.8959579467773438,468,51,244,357,536,183,653,185,594,235,543,319,637,320
31,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.8968394994735718,464,55,238,349,530,185,644,185,588,237,540,317,632,316
32,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.8982455134391785,459,59,232,340,520,182,632,179,577,224,533,306,624,304
33,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.8982141613960266,459,59,232,340,521,182,632,179,578,224,533,306,624,304
34,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.8965086340904236,456,61,231,335,519,181,629,177,578,219,533,301,623,298
35,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.8945894241333008,453,62,230,329,517,182,626,175,578,216,534,299,623,295
36,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.8924580812454224,450,61,230,321,514,181,621,172,575,211,533,297,621,291
37,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.8928683400154114,447,59,230,319,510,179,619,169,574,212,531,297,620,289
38,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.8926469683647156,442,57,231,319,505,181,611,166,564,210,533,297,617,285
39,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.8906340003013611,436,53,235,322,498,178,605,163,558,206,527,295,613,282
40,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.8888710141181946,433,49,235,324,493,175,602,159,555,203,524,293,610,279
41,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.8837164044380188,429,45,238,324,490,168,601,155,556,197,518,285,607,275
42,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.879806399345398,425,39,240,327,490,161,600,149,555,192,517,281,605,271
43,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.8871465921401978,422,30,243,331,484,156,600,142,554,188,512,277,607,266
44,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.8938423991203308,420,22,245,334,484,146,601,134,555,174,510,267,605,258
45,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.8942258358001709,417,11,248,344,480,136,601,126,552,168,504,260,603,252
46,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.8940385580062866,417,11,248,344,480,136,601,126,552,168,504,260,603,252
47,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9060314297676086,412,7,254,341,481,124,605,117,552,165,501,253,603,247
48,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9114519357681274,412,7,255,339,484,118,607,112,554,160,502,250,603,245
49,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9139241576194763,413,7,258,340,486,111,609,106,555,160,503,249,604,245
50,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9139301180839539,412,7,259,340,486,111,609,106,555,159,503,249,604,245
51,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9087303280830383,411,7,266,341,485,108,611,103,556,156,502,249,606,244
52,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9086255431175232,412,7,278,350,494,101,622,95,565,156,513,255,616,248
53,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9113386273384094,424,8,273,350,501,97,632,94,574,158,515,250,623,247
54,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.911285400390625,423,8,274,350,501,97,632,94,574,158,515,250,623,247
55,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9088796973228455,425,7,281,352,506,96,642,92,576,160,523,255,634,251
56,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.907162606716156,432,7,281,353,513,93,651,93,585,157,524,249,637,248
57,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9091241955757141,441,7,287,355,524,88,664,89,595,155,534,249,648,250
58,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9089853763580322,441,7,287,355,524,87,664,89,595,154,534,249,648,250
59,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9073288440704346,446,8,290,357,531,85,672,88,602,156,538,251,653,253
60,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9070609211921692,452,7,295,361,537,83,677,89,605,160,542,252,656,256
61,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9089237451553345,456,8,298,362,542,83,684,91,614,165,542,249,660,256
62,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9066877365112305,464,7,299,366,551,80,695,92,621,158,545,248,665,258
63,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9064979553222656,467,7,306,366,560,76,704,92,629,157,549,246,668,258
64,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9086361527442932,472,7,310,366,567,74,711,93,635,161,552,241,673,256
65,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9079457521438599,475,7,317,367,576,71,720,93,641,161,557,239,678,257
66,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9061318635940552,481,7,318,368,582,69,725,93,640,165,561,239,682,258
67,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9055522680282593,485,7,320,369,586,69,731,94,642,169,565,238,687,258
68,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9063319563865662,487,7,322,371,592,76,735,98,653,174,573,246,693,264
69,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9068441987037659,488,7,323,375,593,74,738,98,654,176,572,249,694,268
70,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9079015254974365,486,7,327,376,591,74,737,97,654,178,572,252,694,270
71,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9080034494400024,486,7,327,376,591,75,737,97,654,178,572,252,694,270
72,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9072839617729187,486,6,327,377,592,74,736,97,653,177,573,252,694,271
73,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9101255536079407,485,6,328,380,589,75,735,99,650,176,570,256,691,275
74,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9106955528259277,484,7,328,380,585,76,734,98,647,180,567,257,692,275
75,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9107676148414612,484,7,328,380,585,77,734,98,647,180,567,258,692,275
76,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9099957942962646,484,6,327,382,585,71,735,96,642,176,564,256,689,276
77,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9119738340377808,481,6,328,383,582,71,732,99,639,182,558,253,686,275
78,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9159318804740906,474,5,328,387,574,79,725,102,639,189,554,258,682,277
79,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9157525300979614,474,6,328,386,574,79,725,102,638,189,554,258,682,277
80,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9139506220817566,473,6,327,386,573,78,726,105,631,194,549,258,680,280
81,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9160566926002502,471,5,326,388,573,83,722,107,636,189,552,258,678,277
82,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.915164589881897,468,5,325,388,569,86,718,109,635,190,549,257,676,276
83,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9128857851028442,467,6,321,386,565,87,714,109,631,191,547,257,674,275
84,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9100738763809204,467,5,315,386,560,89,708,108,628,189,545,259,671,274
85,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9091305732727051,463,5,314,384,555,89,703,108,623,186,541,258,667,273
86,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.910791277885437,459,5,315,383,550,91,698,106,621,185,540,260,665,272
87,data/processed/FI/video/_ztmNiy8D3c.000.mp4,0.9117060303688049,456,5,313,383,545,93,691,106,615,189,539,261,663,271
