frame_id,source,score,x,y,w,h,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,left_mouth_x,left_mouth_y,right_mouth_x,right_mouth_y
0,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8115793466567993,636,35,81,99,657,76,695,76,677,95,660,111,691,111
1,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8125850558280945,636,35,82,99,657,76,695,76,677,95,661,111,691,111
2,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8122320771217346,636,35,81,99,657,76,695,76,677,95,661,111,691,111
3,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8124182820320129,636,35,81,99,657,76,695,76,677,95,661,111,691,111
4,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8121246695518494,636,35,81,99,657,76,695,76,677,95,661,111,691,111
5,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8129492402076721,636,35,82,99,658,76,695,76,676,95,660,111,691,111
6,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8133715987205505,635,35,83,100,658,76,695,76,677,95,660,111,691,111
7,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8140764236450195,635,35,82,100,657,76,695,76,676,95,660,111,691,111
8,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8209943175315857,635,35,83,101,658,77,696,75,678,96,661,113,691,112
9,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8175175189971924,635,35,83,101,658,77,696,75,678,96,661,113,691,112
10,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.812822699546814,635,35,82,100,657,76,695,76,676,95,660,111,690,112
11,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8206091523170471,635,35,82,100,658,77,697,75,679,95,662,112,693,111
12,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8201445937156677,636,35,81,100,658,77,696,75,679,95,662,113,693,111
13,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8314077258110046,636,35,82,99,659,77,697,75,679,95,663,112,694,111
14,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8297063112258911,635,35,83,100,658,77,697,75,679,95,663,112,694,110
15,data/processed/FI/video/c7tczvW3_dQ.002.mp4,0.8178759217262268,635,35,83,102,659,77,698,75,680,95,663,113,694,112
